year,company,revenue,net_profit,total_assets,operating_cashflow,treatment,post,profit_margin,cashflow_ratio,asset_turnover,ln_assets,did,year_fixed,treatment_year,treatment_2019,treatment_2020,treatment_2021,treatment_2022,treatment_2023,treatment_2024,post_placebo_2021,did_placebo_2021,post_placebo_2022,did_placebo_2022,profit_margin_winsor
2019,大悦城,337.87,37.05,1513.24,40.65,1,0,10.965756060023086,12.031254624559741,0.22327588485633476,7.322008326456554,0,2019,1_2019,1,0,0,0,0,0,0,0,0,0,10.925789151091129
2020,大悦城,384.45,-3.87,1537.8,98.14,1,0,-1.0066328521264145,25.527376772011966,0.25,7.33810810259808,0,2020,1_2020,0,1,0,0,0,0,0,0,0,0,-1.0066328521264145
2021,大悦城,426.14,1.08,1704.56,71.0,1,0,0.25343783733045483,16.661191157835454,0.25,7.4410622918971105,0,2021,1_2021,0,0,1,0,0,0,1,1,0,0,0.25343783733045483
2022,大悦城,395.79,-28.83,1583.16,27.1,1,0,-7.28416584552414,6.847065362944996,0.25,7.367178128683686,0,2022,1_2022,0,0,0,1,0,0,1,1,1,1,-7.28416584552414
2023,大悦城,367.83,-14.65,1980.61,106.42,1,0,-3.982818149688715,28.931843514667104,0.18571551188775176,7.591160157049514,0,2023,1_2023,0,0,0,0,1,0,1,1,1,1,-3.982818149688715
2024,大悦城,357.91,-29.77,1920.5,66.17,1,1,-8.317733508423904,18.48788801654047,0.18636292632127052,7.56034084778596,1,2024,1_2024,0,0,0,0,0,1,1,1,1,1,-8.214376742133927
2019,万科,3678.94,388.72,17299.29,456.87,0,0,10.566086970703518,12.41852272665496,0.21266421916737624,9.75842073918126,0,2019,0_2019,0,0,0,0,0,0,0,0,0,0,10.566086970703518
2020,万科,4191.12,415.16,18692.64,531.88,0,0,9.905705396170953,12.690641165130085,0.22421231029966876,9.835885142480903,0,2020,0_2020,0,0,0,0,0,0,0,0,0,0,9.905705396170953
2021,万科,4527.98,225.24,19386.38,473.6,0,0,4.974403597189035,10.459410156405285,0.23356500801077867,9.872326036634917,0,2021,0_2021,0,0,0,0,0,0,1,0,0,0,4.974403597189035
2022,万科,5038.38,226.18,17575.16,27.75,0,0,4.489141350989803,0.5507722720398224,0.2866761952665011,9.774241820478109,0,2022,0_2022,0,0,0,0,0,0,1,0,1,0,4.489141350989803
2023,万科,4657.39,121.63,16576.29,392.54,0,0,2.6115485282529485,8.428325736088238,0.28096697149965405,9.715728640079917,0,2023,0_2023,0,0,0,0,0,0,1,0,1,0,2.6115485282529485
